id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Backroad Summer,Dusty Pines,country,happy,0.68,104,0.88,0.74,0.62
12,Heartbreak Highway,Cassie Mae,country,moody,0.52,96,0.34,0.55,0.71
13,Golden Hour Drive,River Bend,country,relaxed,0.58,100,0.79,0.65,0.80
14,Late Night Feels,Soulwave,r&b,chill,0.55,88,0.72,0.76,0.31
15,Neon Love,Velvet Sine,r&b,happy,0.71,112,0.85,0.83,0.20
16,Smooth Like That,Aaliyah Grove,r&b,relaxed,0.44,95,0.68,0.64,0.45
17,Block Party,K-Rhyme,hip-hop,happy,0.84,98,0.80,0.91,0.08
18,Grind Season,Lyric Stone,hip-hop,intense,0.88,105,0.52,0.87,0.06
19,Low Key,Mellow Blox,hip-hop,chill,0.50,90,0.63,0.78,0.14
20,Drop Zone,Circuit Bass,edm,intense,0.97,140,0.66,0.95,0.03
21,Euphoria Wave,Pulse Grid,edm,happy,0.92,128,0.78,0.94,0.04
